Ngày Tháng Năm,VIC,VHM,VRE,VN30F1M
8/20/2018,45.6,63.37,31.32,945.0
8/21/2018,45.82,64.01,31.32,958.5
8/22/2018,46.05,64.01,31.68,957.0
8/23/2018,46.49,65.18,32.19,960.6
8/24/2018,46.22,64.95,32.27,958.5
8/27/2018,46.31,64.95,32.11,963.2
8/28/2018,46.31,64.65,31.75,965.6
8/29/2018,45.78,63.08,31.4,962.0
8/30/2018,45.96,62.56,31.68,970.5
8/31/2018,45.96,60.58,31.2,965.7
9/4/2018,45.38,61.1,30.05,956.0
9/5/2018,45.11,61.74,29.18,944.0
9/6/2018,43.56,61.16,28.98,934.7
9/7/2018,43.2,61.04,29.85,943.5
9/10/2018,44.13,60.93,29.93,936.2
9/11/2018,44.98,60.4,30.37,953.1
9/12/2018,45.07,60.58,30.05,950.0
9/13/2018,44.58,61.22,29.89,953.0
9/14/2018,44.89,61.45,30.01,958.5
9/17/2018,44.0,61.45,29.49,950.5
9/18/2018,44.27,60.93,29.34,962.0
9/19/2018,43.82,60.93,29.34,962.8
9/20/2018,43.78,61.16,29.77,971.0
9/21/2018,43.82,59.12,30.01,980.0
9/24/2018,44.27,59.94,31.32,981.5
9/25/2018,44.22,59.65,31.6,980.6
9/26/2018,44.0,59.35,32.31,981.0
9/27/2018,43.82,60.58,32.51,985.8
9/28/2018,43.69,61.74,33.22,987.4
10/1/2018,43.78,60.05,32.31,984.9
10/2/2018,45.33,60.58,32.11,984.0
10/3/2018,45.42,59.41,32.9,986.5
10/4/2018,44.71,59.76,33.06,992.0
10/5/2018,43.78,59.47,32.51,982.6
10/8/2018,42.93,58.25,31.16,973.2
10/9/2018,42.93,58.25,31.16,973.5
10/10/2018,42.93,58.32,31.71,971.6
10/11/2018,41.33,55.7,29.65,920.2
10/12/2018,42.67,56.06,30.17,944.0
10/15/2018,42.44,53.22,29.18,919.0
10/16/2018,43.82,54.32,29.49,935.1
10/17/2018,44.0,55.63,29.81,945.5
10/18/2018,44.04,55.04,29.46,937.6
10/19/2018,44.04,54.46,29.38,932.2
10/22/2018,44.04,54.39,29.73,921.5
10/23/2018,44.0,53.95,29.34,901.0
10/24/2018,43.91,52.79,28.7,885.0
10/25/2018,43.02,49.87,28.23,886.5
10/26/2018,42.84,47.33,27.75,870.0
10/29/2018,43.2,45.0,27.91,878.0
10/30/2018,42.93,45.21,27.35,876.0
10/31/2018,43.2,48.35,28.94,904.0
11/1/2018,42.44,50.24,28.41,884.0
11/2/2018,42.67,52.42,28.8,906.5
11/5/2018,42.67,52.42,29.82,899.0
11/6/2018,42.58,52.42,29.53,894.0
11/7/2018,42.67,52.93,29.53,894.8
11/8/2018,42.67,54.39,30.11,893.6
11/9/2018,42.62,55.34,29.96,880.0
11/12/2018,42.62,55.34,30.01,885.0
11/13/2018,41.47,55.19,29.33,872.8
11/14/2018,42.09,55.19,29.19,871.0
11/15/2018,40.76,54.97,29.53,864.4
11/16/2018,40.04,51.84,29.14,870.0
11/19/2018,42.84,53.08,29.28,881.0
11/20/2018,43.2,54.61,29.77,881.3
11/21/2018,43.24,55.19,30.69,895.0
11/22/2018,43.56,56.06,30.4,892.0
11/23/2018,44.0,55.41,29.92,886.8
11/26/2018,44.67,56.06,30.06,890.4
