as_of_date,scenario_name,scenario_rank,shock_type,shock_magnitude,dd_total,dd_exogenous,dd_endogenous,panic_ratio,margin_calls,margin_call_events,min_price_mean,end_price_mean,dd_total_p10,dd_total_p90,panic_ratio_p10,panic_ratio_p90,simulation_runs,simulation_agents,steps_post_shock,stress_confidence
2026-05-15,price_drop_7pct,3,PRICE_DROP,0.07,0.0842939215196067,0.0688346437012735,0.0154592778183332,0.1793500029108592,313,313,1759.6208004079238,1887.729804408308,0.0792101554618217,0.089273143465387,0.0626279131951365,0.2900325699456851,12,1000,20,0.4113495853597215
2026-05-22,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.0037174317516194,0.0022957758749455,0.0014216558766739,0.2932135022608423,0,0,1870.1518973360824,1910.9478797239988,0.0,0.0071575489583819,0.0,0.934522446586175,12,1000,20,0.4173814480221464
2026-05-22,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.0101734934048167,0.0041444414079226,0.006029051996894,0.3636646833725824,0,0,1858.0330303250164,1892.2699599314085,0.0002197931147647,0.015389237733545,0.0,0.9101033243634914,12,1000,20,0.4173814480221464
2026-05-22,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0049128221972271,0.0021520540129837,0.0027607681842433,0.3441515447986186,0,0,1867.9079940689192,1916.7792498890403,0.0001329278548909,0.0116051224174771,0.0,0.9760302914009962,12,1000,20,0.4173814480221464
2026-05-22,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0060479106486507,0.0031722681378357,0.002875642510815,0.2402032352343147,0,0,1865.777285484099,1914.152971135504,0.0001269422620833,0.0120578091364314,0.0,0.9882438822811778,12,1000,20,0.4173814480221464
2026-05-22,price_drop_3pct,1,PRICE_DROP,0.03,0.0390930410674551,0.03126284661219,0.0078301944552651,0.1865299023909536,3,3,1803.747279821048,1833.2989127503763,0.0324438748195285,0.0455040151240626,0.0082237521433132,0.3664639738746989,12,1000,20,0.4173814480221464
2026-05-22,price_drop_5pct,2,PRICE_DROP,0.05,0.0653508585888331,0.0489936389371324,0.0163572196517007,0.2444699596222905,287,287,1754.4579428171437,1794.0431756471792,0.0559148085895788,0.0743139612961656,0.1261319281319894,0.3610542283193624,12,1000,20,0.4173814480221464
2026-05-22,price_drop_7pct,3,PRICE_DROP,0.07,0.0892669812008701,0.0685266461243482,0.0207403350765218,0.2303214970072412,320,320,1709.5642715784106,1745.0884327183574,0.0827238258141001,0.0942576658524857,0.1621948879486351,0.2722860964483198,12,1000,20,0.4173814480221464
2026-05-29,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.0020327295294378,0.0020327295294378,0.0,0.0,0,0,1859.702028849188,1959.4450852311795,0.0,0.005389816444943,0.0,0.0,12,1000,20,0.4110426899433704
2026-05-29,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.0029086578749117,0.0029086578749117,0.0,0.0,0,0,1858.0697451366807,1938.690453269186,0.0,0.0045389576439793,0.0,0.0,12,1000,20,0.4110426899433704
2026-05-29,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.000881448418505,0.000881448418505,0.0,0.0,0,0,1861.8474296866,2011.4953442083709,0.0,0.0031977216506887,0.0,0.0,12,1000,20,0.4110426899433704
2026-05-29,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0009783226935407,0.0009783226935407,0.0,0.0,0,0,1861.666905443814,2023.209542990875,0.0,0.0038193095881396,0.0,0.0,12,1000,20,0.4110426899433704
2026-05-29,price_drop_3pct,1,PRICE_DROP,0.03,0.0256354372730283,0.0256354372730283,0.0,0.0,0,0,1815.718618996084,1946.42668598478,0.0233832697653604,0.0289428552459017,0.0,0.0,12,1000,20,0.4110426899433704
2026-05-29,price_drop_5pct,2,PRICE_DROP,0.05,0.0808347890940628,0.0527958577845148,0.0280389313095479,0.3114851247131049,208,208,1712.8551788711047,1847.135802562598,0.042491581604963,0.0946735049111222,0.0285987115613683,0.4369341101837301,12,1000,20,0.4110426899433704
2026-05-29,price_drop_7pct,3,PRICE_DROP,0.07,0.1074178711849976,0.0691405567236497,0.0382773144613479,0.3552805216543086,308,308,1663.3178712254692,1788.145112474811,0.1012353003485205,0.1139298705113013,0.3232805979114182,0.3986416855181957,12,1000,20,0.4110426899433704
2026-06-05,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.1644826167552017,0.0530150105110372,0.1114676062441645,0.6775298283331295,0,0,1536.4329160488596,1536.4329160488596,0.1459895359885942,0.1880500191006311,0.6048017520472855,0.7833504646683339,12,1000,20,0.412039853196103
2026-06-05,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.1795037660354231,0.0665613792125332,0.1129423868228899,0.6215759536550728,0,0,1508.8105246374605,1508.8105246374605,0.1433514713038681,0.2022688311642789,0.4787880704477386,0.7241276145575971,12,1000,20,0.412039853196103
2026-06-05,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.1636598931408754,0.0400194184382517,0.1236404747026237,0.7501770567685777,0,0,1537.945822503244,1538.5328892897862,0.1301592385978452,0.1939528569798952,0.7020201295500197,0.811177396556405,12,1000,20,0.412039853196103
2026-06-05,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.1664366143908572,0.0471159681205127,0.1193206462703445,0.7179844999459132,0,0,1532.8397097966526,1532.8397097966526,0.1473822788113289,0.1857259946793892,0.6606179725218461,0.8006764039859711,12,1000,20,0.412039853196103
2026-06-05,price_drop_3pct,1,PRICE_DROP,0.03,0.1639246289738428,0.0549941468681704,0.1089304821056724,0.6640636518790192,140,140,1537.4589997800006,1537.4589997800006,0.1512346758182908,0.174368481445996,0.5876630640328003,0.7279852185873993,12,1000,20,0.412039853196103
2026-06-05,price_drop_5pct,2,PRICE_DROP,0.05,0.1614031275456335,0.0643283911229826,0.0970747364226509,0.5984654401137793,282,282,1542.0957887563343,1542.0957887563343,0.1451606726812938,0.1808923485372065,0.5188734693316567,0.6635086965307224,12,1000,20,0.412039853196103
2026-06-05,price_drop_7pct,3,PRICE_DROP,0.07,0.1747147609322733,0.0772099709757999,0.0975047899564734,0.5562525392132224,302,302,1517.6170261216423,1517.6170261216423,0.162979144766087,0.1869294711603384,0.4757030099153542,0.6225644651223554,12,1000,20,0.412039853196103
2026-06-12,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.0028315613527553,0.0001080399733153,0.00272352137944,0.5647105302060151,0,0,1786.5768331023362,1818.8320845904384,0.0,0.0057758499056876,0.0,1.0,12,1000,20,0.4036023349436641
2026-06-12,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.0051915379812558,0.0001262542788339,0.0050652837024218,0.8626127188056417,0,0,1782.348580975883,1818.928075270808,0.0017814321099036,0.0110383397969553,0.4162173631009305,1.0,12,1000,20,0.4036023349436641
2026-06-12,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0016913557189892,0.0,0.0016913557189892,0.5,0,0,1788.619682526073,1842.5079605900555,0.0,0.0051035088628237,0.0,1.0,12,1000,20,0.4036023349436641
2026-06-12,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.001428547603018,0.0002208658155143,0.0012076817875037,0.2836120677923313,0,0,1789.090542687053,1874.393441514326,0.0,0.0044189730511273,0.0,1.0,12,1000,20,0.4036023349436641
2026-06-12,price_drop_3pct,1,PRICE_DROP,0.03,0.030946966056706,0.0239396846179841,0.0070072814387218,0.2099612736659747,2,2,1736.2038682645027,1811.5545367765324,0.0252556208206201,0.0373316968451093,0.0,0.3671817427306702,12,1000,20,0.4036023349436641
2026-06-12,price_drop_5pct,2,PRICE_DROP,0.05,0.0487341055358301,0.0444091532521025,0.0043249522837275,0.0860701868583295,244,244,1704.3355398167298,1770.5562678235838,0.0457493102743458,0.0507549528086434,0.0004403800704645,0.1360307066056654,12,1000,20,0.4036023349436641
2026-06-12,price_drop_7pct,3,PRICE_DROP,0.07,0.0673434864996531,0.0647011823762311,0.0026423041234219,0.0383906594422275,299,299,1670.9940424128963,1747.423365000551,0.063433645698343,0.0699999999999999,0.0,0.1004230339615601,12,1000,20,0.4036023349436641
2026-06-19,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.0018145801068208,0.0001021251409518,0.001712454965869,0.4068300624387056,0,0,1821.219244157702,1856.724035633794,0.0,0.0060767132251948,0.0,1.0,12,1000,20,0.4092172813879855
2026-06-19,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.0011124270246316,0.0002556777204842,0.0008567493041473,0.2937027152041,0,0,1822.5003435207484,1865.6128232882395,0.0,0.0038712062735724,0.0,1.0,12,1000,20,0.4092172813879855
2026-06-19,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0005980321934196,0.0001728792202637,0.0004251529731558,0.3672105200650122,0,0,1823.43887232214,1879.0105934498888,0.0,0.0017190047685741,0.0,1.0,12,1000,20,0.4092172813879855
