as_of_date,pct_fundamental,pct_momentum,pct_foreign,pct_leveraged,avg_leverage_ratio,noise_std,pct_noise,calibration_method,input_quality_score,mli,liquidity_stress,valuation_gap,trend_z,breadth_z,foreign_flow_z,global_risk_z,global_risk_quality,margin_pressure_z,qp_downside_participation_z,qp_high_beta_sell_pressure_z,qp_sector_stress_z,margin_leverage_level,margin_call_trigger_pressure,cascade_vulnerability,latent_confidence_score,validation_quality,qp_panel_available,qp_panel_quality
2025-08-22,0.2527653287440127,0.2472983984709181,0.090610229159616,0.3093260436254531,1.8,0.2850190328536222,0.1,latent_margin_state_mapping_v3,0.6697749554169903,0.75,1.7239997553343365,-0.0661163522012578,1.5818080674377677,-0.9387755102040818,-1.2786751970182322,-1.0752236249684335,1.0,-0.6032497538319406,3.1888252213483885,3.1439744450220544,2.48497004077062,0.7500000000000001,0.8154983290993926,0.7794742480947268,0.6000260926513945,0.7465737290165666,True,0.98
2025-08-29,0.2775211162550577,0.2323954216611406,0.1072866610835893,0.2827968010002124,1.8,0.2268383175773951,0.1,latent_margin_state_mapping_v3,0.6751250926820653,0.75,1.3419158788697554,-0.0817744467514052,2.3782752283505944,-0.1564625850340135,-1.831401483670085,-0.8826656403399232,1.0,-0.0902334245807726,-0.3629216553755181,-0.2962555365511525,0.1716509107284421,0.7500000000000001,0.4763513169239864,0.6268580926157941,0.583008465552173,0.7849919051760885,True,0.98
2025-09-05,0.2631125044378647,0.2262476194310875,0.1026437140722428,0.3079961620588048,1.8,0.2304383148170531,0.1,latent_margin_state_mapping_v3,0.674914946121155,0.75,1.5219157408526582,-0.0713839912622872,1.1513102685981902,-0.8299319727891158,-1.6767043565857531,-1.0521311663458677,1.0,0.4088897735620838,1.5999318566293677,1.27596828307807,1.7300988974615872,0.7500000000000001,0.7568829721863624,0.7530973374838632,0.5790286880677471,0.7881310964168726,True,0.98
2025-09-12,0.2940199758551415,0.2145858185230832,0.0842178332941416,0.3071763723276334,1.8,0.2266666666666666,0.1,latent_margin_state_mapping_v3,0.6890369751641956,0.75,1.3333333333333333,-0.0673849060717273,0.652259466464159,0.3537414965986396,-0.4956281790688202,-1.1054534686232127,1.0,-0.4882234050447187,-0.880320771858074,-0.5657316828757201,-0.4999282500187804,0.7500000000000001,0.3288700452361425,0.5604915203562642,0.6694720374943302,0.7541758631624524,True,0.98
2025-09-19,0.2903628162599922,0.2039073916430069,0.0845805688657949,0.3211492232312058,1.8,0.2274907383192152,0.1,latent_margin_state_mapping_v3,0.6833020130836988,0.75,1.37453691596076,-0.0578717948717951,-0.0654994520503823,-0.5374149659863945,-0.5560133784277467,-1.026948081972754,1.0,-0.2215286400355205,0.4091024937281597,-0.0183029208289793,0.8240716525485346,0.7500000000000001,0.5501227464713028,0.6600552359120864,0.6473452146735725,0.7533628376612225,True,0.98
2025-09-26,0.2844211904189516,0.2088889230153006,0.0891994442728741,0.3174904422928737,1.8,0.227207602378774,0.1,latent_margin_state_mapping_v3,0.6797657310723498,0.75,1.3603801189386997,-0.0559254327563247,-0.1337692144800083,-0.6734693877551021,-0.7678658547538375,-0.5468565726710028,1.0,-0.1103165314024133,0.9194370985317234,0.243160634435148,0.1518786970110911,0.7500000000000001,0.5611934902613728,0.6650370706176179,0.6420169111543734,0.7445460131350259,True,0.98
2025-10-03,0.2729271542909607,0.2124539351821904,0.0838334347795137,0.3307854757473352,1.95,0.2294243389073966,0.1,latent_margin_state_mapping_v3,0.6725257753351345,0.75,1.4712169453698318,-0.0451647345942648,-0.2360154493677521,-0.9183673469387754,-0.6738441830331079,-0.1758267275043413,1.0,0.0517676706832826,1.6829517322501613,0.9563188312137496,0.9195759976276128,0.8624999999999999,0.6012447030568074,0.7449351163755633,0.6014931794631921,0.7561099218773456,True,0.98
2025-10-10,0.2813188087934939,0.2039266079796403,0.1044493901361895,0.3103051930906762,1.95,0.2266666666666666,0.1,latent_margin_state_mapping_v3,0.6775663610840357,0.75,1.3333333333333333,-0.0914764609779272,0.8284027785490476,-0.1768707482993198,-0.2173366345118337,2.5882640900551594,1.0,-0.0802981905162861,-0.7173392876195386,-0.4784554439917656,-0.0393158260645413,0.8624999999999999,0.3592554547200984,0.6360399546240443,0.6347335039672188,0.7430319403689238,True,0.98
2025-10-17,0.2743759332986251,0.2163014462438091,0.0839563601230954,0.3253662603344703,1.95,0.2274469210262711,0.1,latent_margin_state_mapping_v3,0.6795518008366885,0.75,1.3723460513135568,-0.0743083315800549,0.7439711973691097,-0.7142857142857144,-0.1697512315031541,1.101042774151691,1.0,-0.2627833686848712,0.9037135668831966,0.3808276131543544,0.1709301785575033,0.8624999999999999,0.6513224123695202,0.767470085566284,0.629203186076686,0.7565040172700682,True,0.98
2025-10-24,0.2838292578156084,0.2073238160904151,0.0711529427059789,0.3376939833879974,1.95,0.2269079628548017,0.1,latent_margin_state_mapping_v3,0.6712461241841803,0.75,1.345398142740084,-0.0378939307408755,0.2181426151826586,-0.5258693808312129,0.0028788399066447,0.0227821160015626,1.0,-1.914171036293704,0.1893879792147231,0.1052628893821009,0.0728755651236522,0.8624999999999999,0.5162554091865019,0.7066899341339259,0.62079263441231,0.7310668623244112,True,0.9825
