generated_at,window,channel,score,item_count
2026-06-14T10:54:33+07:00,latest_30d,fiscal_public_investment,0.0006,5
2026-06-14T10:54:33+07:00,latest_30d,fx_external,0.0117,266
2026-06-14T10:54:33+07:00,latest_30d,growth,0.0132,2284
2026-06-14T10:54:33+07:00,latest_30d,inflation,0.0,0
2026-06-14T10:54:33+07:00,latest_30d,liquidity,-0.0008,748
2026-06-14T10:54:33+07:00,latest_30d,monetary_policy,0.2579,39
2026-06-14T10:54:33+07:00,latest_30d,real_estate_collateral,0.0137,299
2026-06-14T10:54:33+07:00,latest_30d,risk_appetite,0.0047,545
2026-06-14T10:54:33+07:00,latest_30d,unknown,-0.0201,104
2026-06-14T10:54:33+07:00,latest_7d,banking_system,0.0,3
2026-06-14T10:54:33+07:00,latest_7d,commodity,-0.0374,168
2026-06-14T10:54:33+07:00,latest_7d,credit_stress,0.1265,7
2026-06-14T10:54:33+07:00,latest_7d,earnings,0.1561,452
2026-06-14T10:54:33+07:00,latest_7d,fiscal_public_investment,0.0,0
2026-06-14T10:54:33+07:00,latest_7d,fx_external,0.0471,64
2026-06-14T10:54:33+07:00,latest_7d,growth,0.0358,502
2026-06-14T10:54:33+07:00,latest_7d,inflation,0.0,0
2026-06-14T10:54:33+07:00,latest_7d,liquidity,-0.0013,176
2026-06-14T10:54:33+07:00,latest_7d,monetary_policy,0.4305,10
2026-06-14T10:54:33+07:00,latest_7d,real_estate_collateral,0.0291,51
2026-06-14T10:54:33+07:00,latest_7d,risk_appetite,0.008,134
2026-06-14T10:54:33+07:00,latest_7d,unknown,-0.0401,21
2026-06-14T10:56:00+07:00,latest_1d,banking_system,0.0,0
2026-06-14T10:56:00+07:00,latest_1d,commodity,0.0,0
2026-06-14T10:56:00+07:00,latest_1d,credit_stress,0.2375,1
2026-06-14T10:56:00+07:00,latest_1d,earnings,0.145,224
2026-06-14T10:56:00+07:00,latest_1d,fiscal_public_investment,0.0,0
2026-06-14T10:56:00+07:00,latest_1d,fx_external,0.0014,8
2026-06-14T10:56:00+07:00,latest_1d,growth,0.0723,48
2026-06-14T10:56:00+07:00,latest_1d,inflation,0.0,0
2026-06-14T10:56:00+07:00,latest_1d,liquidity,0.0326,16
2026-06-14T10:56:00+07:00,latest_1d,monetary_policy,0.0,0
2026-06-14T10:56:00+07:00,latest_1d,real_estate_collateral,0.1387,4
2026-06-14T10:56:00+07:00,latest_1d,risk_appetite,0.0187,8
2026-06-14T10:56:00+07:00,latest_1d,unknown,0.0,5
2026-06-14T10:56:00+07:00,latest_30d,banking_system,-0.0159,16
2026-06-14T10:56:00+07:00,latest_30d,commodity,-0.021,771
2026-06-14T10:56:00+07:00,latest_30d,credit_stress,0.0703,28
2026-06-14T10:56:00+07:00,latest_30d,earnings,0.0863,1386
2026-06-14T10:56:00+07:00,latest_30d,fiscal_public_investment,0.0,5
2026-06-14T10:56:00+07:00,latest_30d,fx_external,0.0224,266
2026-06-14T10:56:00+07:00,latest_30d,growth,0.0142,2284
2026-06-14T10:56:00+07:00,latest_30d,inflation,0.0,0
2026-06-14T10:56:00+07:00,latest_30d,liquidity,-0.0024,748
2026-06-14T10:56:00+07:00,latest_30d,monetary_policy,0.2579,39
2026-06-14T10:56:00+07:00,latest_30d,real_estate_collateral,0.0448,299
2026-06-14T10:56:00+07:00,latest_30d,risk_appetite,0.0116,545
2026-06-14T10:56:00+07:00,latest_30d,unknown,-0.0403,104
2026-06-14T10:56:00+07:00,latest_7d,banking_system,0.0,3
2026-06-14T10:56:00+07:00,latest_7d,commodity,-0.0374,168
2026-06-14T10:56:00+07:00,latest_7d,credit_stress,0.1265,7
2026-06-14T10:56:00+07:00,latest_7d,earnings,0.1561,452
2026-06-14T10:56:00+07:00,latest_7d,fiscal_public_investment,0.0,0
2026-06-14T10:56:00+07:00,latest_7d,fx_external,0.0471,64
2026-06-14T10:56:00+07:00,latest_7d,growth,0.0358,502
2026-06-14T10:56:00+07:00,latest_7d,inflation,0.0,0
2026-06-14T10:56:00+07:00,latest_7d,liquidity,-0.0023,176
2026-06-14T10:56:00+07:00,latest_7d,monetary_policy,0.4305,10
2026-06-14T10:56:00+07:00,latest_7d,real_estate_collateral,0.0479,51
2026-06-14T10:56:00+07:00,latest_7d,risk_appetite,0.0116,134
2026-06-14T10:56:00+07:00,latest_7d,unknown,-0.0401,21
2026-06-14T10:57:44+07:00,latest_1d,banking_system,0.0,0
2026-06-14T10:57:44+07:00,latest_1d,commodity,0.0,0
2026-06-14T10:57:44+07:00,latest_1d,credit_stress,1.1875,1
2026-06-14T10:57:44+07:00,latest_1d,earnings,0.7252,224
2026-06-14T10:57:44+07:00,latest_1d,fiscal_public_investment,0.0,0
2026-06-14T10:57:44+07:00,latest_1d,fx_external,0.007,8
2026-06-14T10:57:44+07:00,latest_1d,growth,0.3616,48
2026-06-14T10:57:44+07:00,latest_1d,inflation,0.0,0
2026-06-14T10:57:44+07:00,latest_1d,liquidity,0.1628,16
2026-06-14T10:57:44+07:00,latest_1d,monetary_policy,0.0,0
2026-06-14T10:57:44+07:00,latest_1d,real_estate_collateral,0.6934,4
2026-06-14T10:57:44+07:00,latest_1d,risk_appetite,0.0936,8
2026-06-14T10:57:44+07:00,latest_1d,unknown,0.0,5
2026-06-14T10:57:44+07:00,latest_30d,banking_system,-0.0795,16
2026-06-14T10:57:44+07:00,latest_30d,commodity,-0.1052,771
2026-06-14T10:57:44+07:00,latest_30d,credit_stress,0.3513,28
2026-06-14T10:57:44+07:00,latest_30d,earnings,0.4314,1386
2026-06-14T10:57:44+07:00,latest_30d,fiscal_public_investment,0.0,5
2026-06-14T10:57:44+07:00,latest_30d,fx_external,0.1122,266
2026-06-14T10:57:44+07:00,latest_30d,growth,0.0708,2284
2026-06-14T10:57:44+07:00,latest_30d,inflation,0.0,0
2026-06-14T10:57:44+07:00,latest_30d,liquidity,-0.0121,748
2026-06-14T10:57:44+07:00,latest_30d,monetary_policy,1.2897,39
2026-06-14T10:57:44+07:00,latest_30d,real_estate_collateral,0.2242,299
2026-06-14T10:57:44+07:00,latest_30d,risk_appetite,0.058,545
2026-06-14T10:57:44+07:00,latest_30d,unknown,-0.2015,104
2026-06-14T10:57:44+07:00,latest_7d,banking_system,0.0,3
2026-06-14T10:57:44+07:00,latest_7d,commodity,-0.1868,168
2026-06-14T10:57:44+07:00,latest_7d,credit_stress,0.6324,7
2026-06-14T10:57:44+07:00,latest_7d,earnings,0.7803,452
2026-06-14T10:57:44+07:00,latest_7d,fiscal_public_investment,0.0,0
2026-06-14T10:57:44+07:00,latest_7d,fx_external,0.2356,64
2026-06-14T10:57:44+07:00,latest_7d,growth,0.1791,502
2026-06-14T10:57:44+07:00,latest_7d,inflation,0.0,0
2026-06-14T10:57:44+07:00,latest_7d,liquidity,-0.0113,176
2026-06-14T10:57:44+07:00,latest_7d,monetary_policy,2.0,10
2026-06-14T10:57:44+07:00,latest_7d,real_estate_collateral,0.2394,51
2026-06-14T10:57:44+07:00,latest_7d,risk_appetite,0.0579,134
2026-06-14T10:57:44+07:00,latest_7d,unknown,-0.2005,21
2026-06-14T11:04:12+07:00,latest_1d,banking_system,0.0,0
2026-06-14T11:04:12+07:00,latest_1d,commodity,0.0,0
2026-06-14T11:04:12+07:00,latest_1d,credit_stress,1.1875,1
2026-06-14T11:04:12+07:00,latest_1d,earnings,0.7252,224
2026-06-14T11:04:12+07:00,latest_1d,fiscal_public_investment,0.0,0
2026-06-14T11:04:12+07:00,latest_1d,fx_external,0.007,8
2026-06-14T11:04:12+07:00,latest_1d,growth,0.3616,48
2026-06-14T11:04:12+07:00,latest_1d,inflation,0.0,0
2026-06-14T11:04:12+07:00,latest_1d,liquidity,0.1628,16
2026-06-14T11:04:12+07:00,latest_1d,monetary_policy,0.0,0
2026-06-14T11:04:12+07:00,latest_1d,real_estate_collateral,0.6934,4
2026-06-14T11:04:12+07:00,latest_1d,risk_appetite,0.0936,8
2026-06-14T11:04:12+07:00,latest_1d,unknown,0.0,5
2026-06-14T11:04:12+07:00,latest_30d,banking_system,-0.0795,16
2026-06-14T11:04:12+07:00,latest_30d,commodity,-0.1052,771
2026-06-14T11:04:12+07:00,latest_30d,credit_stress,0.3513,28
2026-06-14T11:04:12+07:00,latest_30d,earnings,0.4314,1386
2026-06-14T11:04:12+07:00,latest_30d,fiscal_public_investment,0.0,5
2026-06-14T11:04:12+07:00,latest_30d,fx_external,0.1122,266
2026-06-14T11:04:12+07:00,latest_30d,growth,0.0708,2284
2026-06-14T11:04:12+07:00,latest_30d,inflation,0.0,0
2026-06-14T11:04:12+07:00,latest_30d,liquidity,-0.0121,748
2026-06-14T11:04:12+07:00,latest_30d,monetary_policy,1.2897,39
2026-06-14T11:04:12+07:00,latest_30d,real_estate_collateral,0.2242,299
2026-06-14T11:04:12+07:00,latest_30d,risk_appetite,0.058,545
2026-06-14T11:04:12+07:00,latest_30d,unknown,-0.2015,104
2026-06-14T11:04:12+07:00,latest_7d,banking_system,0.0,3
2026-06-14T11:04:12+07:00,latest_7d,commodity,-0.1868,168
2026-06-14T11:04:12+07:00,latest_7d,credit_stress,0.6324,7
2026-06-14T11:04:12+07:00,latest_7d,earnings,0.7803,452
2026-06-14T11:04:12+07:00,latest_7d,fiscal_public_investment,0.0,0
2026-06-14T11:04:12+07:00,latest_7d,fx_external,0.2356,64
2026-06-14T11:04:12+07:00,latest_7d,growth,0.1791,502
2026-06-14T11:04:12+07:00,latest_7d,inflation,0.0,0
2026-06-14T11:04:12+07:00,latest_7d,liquidity,-0.0113,176
2026-06-14T11:04:12+07:00,latest_7d,monetary_policy,2.0,10
2026-06-14T11:04:12+07:00,latest_7d,real_estate_collateral,0.2394,51
2026-06-14T11:04:12+07:00,latest_7d,risk_appetite,0.0579,134
2026-06-14T11:04:12+07:00,latest_7d,unknown,-0.2005,21
2026-06-14T11:08:30+07:00,latest_1d,banking_system,0.0,0
2026-06-14T11:08:30+07:00,latest_1d,commodity,0.0,0
2026-06-14T11:08:30+07:00,latest_1d,credit_stress,1.1875,1
2026-06-14T11:08:30+07:00,latest_1d,earnings,0.7252,224
2026-06-14T11:08:30+07:00,latest_1d,fiscal_public_investment,0.0,0
2026-06-14T11:08:30+07:00,latest_1d,fx_external,0.007,8
2026-06-14T11:08:30+07:00,latest_1d,growth,0.3616,48
2026-06-14T11:08:30+07:00,latest_1d,inflation,0.0,0
2026-06-14T11:08:30+07:00,latest_1d,liquidity,0.1628,16
2026-06-14T11:08:30+07:00,latest_1d,monetary_policy,0.0,0
2026-06-14T11:08:30+07:00,latest_1d,real_estate_collateral,0.7828,3
2026-06-14T11:08:30+07:00,latest_1d,risk_appetite,-0.0721,6
2026-06-14T11:08:30+07:00,latest_1d,unknown,0.0,5
2026-06-14T11:08:30+07:00,latest_30d,banking_system,-0.0795,16
2026-06-14T11:08:30+07:00,latest_30d,commodity,-0.1052,771
2026-06-14T11:08:30+07:00,latest_30d,credit_stress,0.3513,28
2026-06-14T11:08:30+07:00,latest_30d,earnings,0.4314,1386
2026-06-14T11:08:30+07:00,latest_30d,fiscal_public_investment,0.0,5
2026-06-14T11:08:30+07:00,latest_30d,fx_external,0.1122,266
2026-06-14T11:08:30+07:00,latest_30d,growth,0.0708,2284
2026-06-14T11:08:30+07:00,latest_30d,inflation,0.0,0
2026-06-14T11:08:30+07:00,latest_30d,liquidity,-0.0121,748
2026-06-14T11:08:30+07:00,latest_30d,monetary_policy,1.2897,39
2026-06-14T11:08:30+07:00,latest_30d,real_estate_collateral,0.2242,299
2026-06-14T11:08:30+07:00,latest_30d,risk_appetite,0.058,545
2026-06-14T11:08:30+07:00,latest_30d,unknown,-0.2015,104
2026-06-14T11:08:30+07:00,latest_7d,banking_system,0.0,3
