report_date,sector,maturity_bucket,yield_avg_pct,yield_median_pct,issuance_count,source,scrape_run_id,scraped_at
2026-04-10,bank,>5Y,2.236075390821988,2.6,6,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/06042026-10042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T072120Z,2026-05-28T07:21:20Z
2026-04-10,non_bank_corp,3Y_5Y,10.5,10.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/06042026-10042026  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2026-04-10,non_bank_corp,<=3Y,8.593968871595331,8.5,7,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/06042026-10042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-10,non_bank_corp,>5Y,8.5,8.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/06042026-10042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-10,real_estate,3Y_5Y,10.56959706959707,12.0,2,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/06042026-10042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-10,real_estate,<=3Y,11.007042253521126,11.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/06042026-10042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-10,real_estate,>5Y,4.0,4.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/06042026-10042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-17,bank,<=3Y,8.0,8.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/13042026-17042026%20BAO%20CAO%20TUAN%20TTTP4.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-17,bank,>5Y,2.236075390821988,2.6,6,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/13042026-17042026%20BAO%20CAO%20TUAN%20TTTP4.pdf,vbma_weekly_local-20260528T072120Z,2026-05-28T07:21:20Z
2026-04-17,non_bank_corp,3Y_5Y,10.5,10.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/13042026-17042026 BAO CAO TUAN TTTP4.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2026-04-17,non_bank_corp,<=3Y,8.593968871595331,8.5,7,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/13042026-17042026%20BAO%20CAO%20TUAN%20TTTP4.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-17,non_bank_corp,>5Y,8.5,8.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/13042026-17042026%20BAO%20CAO%20TUAN%20TTTP4.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-17,real_estate,3Y_5Y,10.56959706959707,12.0,2,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/13042026-17042026%20BAO%20CAO%20TUAN%20TTTP4.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-17,real_estate,<=3Y,11.773972602739724,11.25,4,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/13042026-17042026%20BAO%20CAO%20TUAN%20TTTP4.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-17,real_estate,>5Y,4.0,4.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/13042026-17042026%20BAO%20CAO%20TUAN%20TTTP4.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-24,bank,<=3Y,8.266666666666667,8.2,2,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/20042026-24042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-24,bank,>5Y,8.0,8.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/20042026-24042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-24,non_bank_corp,3Y_5Y,10.533349444175933,11.0,2,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/20042026-24042026  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2026-04-24,non_bank_corp,<=3Y,7.578765060240964,8.25,8,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/20042026-24042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-24,non_bank_corp,>5Y,8.5,8.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/20042026-24042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
