ticker,company_name,sector,segment,sub_sector_id,market_cap,shares_outstanding,exchange,source_url,source_timestamp
REE,Refrigeration Electrical Engineering Corporation,Utilities,Non-financial,conventional-electricity-110,31892430643200.0,622899036.0,HOSE,https://research.mozyfin.com/company/REE?tab=statement,2026-06-02T04:08:38.973Z
SAB,Saigon Beer - Alcohol - Beverage Corporation,Food & Beverage,Non-financial,brewers-8,60536943958400.0,1282562372.0,HOSE,https://research.mozyfin.com/company/SAB?tab=statement,2026-06-02T04:16:13.855Z
SBT,Thanh Thanh Cong - Bien Hoa Joint Stock Company,Food & Beverage,Non-financial,food-products-87,18400225352600.0,906415042.0,HOSE,https://research.mozyfin.com/company/SBT?tab=statement,2026-06-02T04:09:11.391Z
SCS,Saigon Cargo Service Corporation,Travel & Leisure,Non-financial,airlines-114,5226341478400.0,102076982.0,HOSE,https://research.mozyfin.com/company/SCS?tab=statement,2026-06-02T04:19:28.858Z
SHB,Saigon - Hanoi Commercial Joint Stock Bank,Banks,Banks,banks-151,72229770538750.0,5253074221.0,HOSE,https://research.mozyfin.com/company/SHB?tab=statement,2026-06-02T03:41:41.732Z
SIP,Saigon VRG Investment Corporation,Real Estate,Real Estate,real-estate-holding-development-160,12493027858800.0,242112943.0,HOSE,https://research.mozyfin.com/company/SIP?tab=statement,2026-06-02T04:33:01.137Z
SJS,SJ Group Joint Stock Company,Real Estate,Real Estate,real-estate-holding-development-160,15200963710800.0,297474828.0,HOSE,https://research.mozyfin.com/company/SJS?tab=statement,2026-06-02T04:09:43.725Z
SSB,Southeast Asia Commercial Joint Stock Bank,Banks,Banks,banks-151,48688955598000.0,3428799690.0,HOSE,https://research.mozyfin.com/company/SSB?tab=statement,2026-06-02T04:32:28.712Z
STB,SaiGon Thuong Tin Commercial Joint Stock Bank,Banks,Banks,banks-151,126309452972000.0,1885215716.0,HOSE,https://research.mozyfin.com/company/STB?tab=statement,2026-06-02T04:10:48.593Z
SZC,Sonadezi Chau Duc Shareholding Company,Real Estate,Real Estate,real-estate-holding-development-160,4229667780500.0,179985863.0,HOSE,https://research.mozyfin.com/company/SZC?tab=statement,2026-06-02T04:29:46.147Z
TCB,Vietnam Technological And Commercial Joint Stock Bank,Banks,Banks,banks-151,229239877392900.0,7086240414.0,HOSE,https://research.mozyfin.com/company/TCB?tab=statement,2026-06-02T04:28:41.161Z
TCH,Hoang Huy Investment Financial Services Joint Stock Company,Real Estate,Real Estate,real-estate-holding-development-160,14137692972000.0,912109224.0,HOSE,https://research.mozyfin.com/company/TCH?tab=statement,2026-06-02T04:15:09.119Z
TLG,Thien Long Group Corporation,Personal & Household Goods,Non-financial,nondurable-household-products-80,4729888660000.0,96528340.0,HOSE,https://research.mozyfin.com/company/TLG?tab=statement,2026-06-02T04:11:21.845Z
TPB,Tien Phong Commercial Joint Stock Bank,Banks,Banks,banks-151,43552535906100.0,2774046873.0,HOSE,https://research.mozyfin.com/company/TPB?tab=statement,2026-06-02T04:28:08.726Z
VCB,Joint Stock Commercial Bank For Foreign Trade Of Vietnam,Banks,Banks,banks-151,519722990846800.0,8355675094.0,HOSE,https://research.mozyfin.com/company/VCB?tab=statement,2026-06-02T04:11:54.586Z
VCG,Viet Nam Construction And Import - Export Joint Stock Corporation,Construction & Materials,Non-financial,heavy-construction-9,13058660387200.0,646468336.0,HOSE,https://research.mozyfin.com/company/VCG?tab=statement,2026-06-02T15:00:56.709Z
VCI,Vietcap Securities Joint Stock Company,Financial Services,Securities,investment-services-154,28346508547500.0,1147631925.0,HOSE,https://research.mozyfin.com/company/VCI?tab=statement,2026-06-02T04:20:01.213Z
VGC,Viglacera Corporation - JSC,Construction & Materials,Non-financial,building-materials-fixtures-43,19189380000000.0,448350000.0,HOSE,https://research.mozyfin.com/company/VGC?tab=statement,2026-06-02T04:30:18.898Z
VHC,Vinh Hoan Corporation,Food & Beverage,Non-financial,farming-fishing-5,12211119169700.0,209453159.0,HOSE,https://research.mozyfin.com/company/VHC?tab=statement,2026-06-02T04:12:26.965Z
VHM,Vinhomes Joint Stock Company,Real Estate,Real Estate,real-estate-holding-development-160,624326624608000.0,4107412004.0,HOSE,https://research.mozyfin.com/company/VHM?tab=statement,2026-06-02T04:27:03.409Z
VIB,Viet Nam International Commercial Joint Stock Bank,Banks,Banks,banks-151,54804491931000.0,3404005710.0,HOSE,https://research.mozyfin.com/company/VIB?tab=statement,2026-06-02T04:17:18.973Z
VIC,VinGroup Joint Stock Company,Real Estate,Real Estate,real-estate-holding-development-160,1578965756817600.0,7706031024.0,HOSE,https://research.mozyfin.com/company/VIC?tab=statement,2026-06-02T04:12:59.432Z
VIX,VIX Securities Joint Stock Company,Financial Services,Securities,investment-services-154,43860151118800.0,2450287772.0,HOSE,https://research.mozyfin.com/company/VIX?tab=statement,2026-06-02T15:01:21.171Z
VJC,VietJet Aviation Joint Stock Company,Travel & Leisure,Non-financial,airlines-114,101165538114000.0,591611334.0,HOSE,https://research.mozyfin.com/company/VJC?tab=statement,2026-06-02T04:17:51.357Z
VND,VNDIRECT Securities Corporation,Financial Services,Securities,investment-services-154,26716363385400.0,1522299908.0,HOSE,https://research.mozyfin.com/company/VND?tab=statement,2026-06-02T15:01:46.575Z
VNM,Vietnam Dairy Products Joint Stock Company,Food & Beverage,Non-financial,food-products-87,123516366799500.0,2089955445.0,HOSE,https://research.mozyfin.com/company/VNM?tab=statement,2026-06-02T04:13:31.799Z
VPB,Vietnam Prosperity Joint Stock Commercial Bank,Banks,Banks,banks-151,213819241046950.0,7933923601.0,HOSE,https://research.mozyfin.com/company/VPB?tab=statement,2026-06-02T04:21:06.012Z
VPI,Van Phu Real Estate Development Joint Stock Company,Real Estate,Real Estate,real-estate-holding-development-160,20131118393300.0,320049577.0,HOSE,https://research.mozyfin.com/company/VPI?tab=statement,2026-06-02T04:22:10.816Z
VRE,Vincom Retail Joint Stock Company,Real Estate,Real Estate,real-estate-holding-development-160,70896334392000.0,2272318410.0,HOSE,https://research.mozyfin.com/company/VRE?tab=statement,2026-06-02T04:22:43.496Z
VSC,Viet Nam Container Shipping Joint Stock Company,Industrial Goods & Services,Non-financial,transportation-services-47,7431251685700.0,374370362.0,HOSE,https://research.mozyfin.com/company/VSC?tab=statement,2026-06-02T04:14:04.401Z
VTP,Viettel Post Joint Stock Corporation,Industrial Goods & Services,Non-financial,delivery-services-30,11292454310700.0,172931919.0,HOSE,https://research.mozyfin.com/company/VTP?tab=statement,2026-06-02T15:02:11.700Z
