source_file,source_format,ticker_detected,parse_status,missing_fields,warnings,error_message,parsed_at
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/HPG_financial_report.json,json,HPG,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/HPG_financial_report.xlsx,xlsx,HPG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/HSG_financial_report.json,json,HSG,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/HSG_financial_report.xlsx,xlsx,HSG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/HT1_financial_report.json,json,HT1,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/HT1_financial_report.xlsx,xlsx,HT1,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/IMP_financial_report.json,json,IMP,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/IMP_financial_report.xlsx,xlsx,IMP,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/KBC_financial_report.json,json,KBC,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/KBC_financial_report.xlsx,xlsx,KBC,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/KDC_financial_report.json,json,KDC,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/KDC_financial_report.xlsx,xlsx,KDC,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/KDH_financial_report.json,json,KDH,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/KDH_financial_report.xlsx,xlsx,KDH,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/KOS_financial_report.json,json,KOS,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/KOS_financial_report.xlsx,xlsx,KOS,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
